Agent Name,Date Quoted,Policyholder,Line of Business,Policy Type,Business Type,Status,Lead Source,Zipcode,Written Premium,Date Issued,Issued Premium
Destiny Ross,12/10/2025,H. Moore,Fire,Renters,New,Issued,Internet Lead - Provider A,70342,228.34,12/18/2025,228.34
Destiny Ross,12/10/2025,H. Moore,Auto,Private Passenger,New,Issued,Internet Lead - Provider A,70763,1657.99,12/18/2025,1657.99
Destiny Ross,12/10/2025,Z. Thibodeaux,Auto,Private Passenger,New,Quoted,Win Back,70355,640.13,,
Amber Lowery,12/10/2025,L. Harris,Auto,Private Passenger,Added,Issued,Current Customer - Customer Generated,71430,1738.71,12/15/2025,1738.71
Amber Lowery,12/10/2025,D. Miller,Auto,Private Passenger,New,Quoted,Internet Lead - Provider B,71454,927.22,,
Amber Lowery,12/10/2025,D. Miller,Fire,Condo Unitowners,New,Quoted,Referral - Realtor,71266,3328.97,,
Destiny Ross,12/16/2025,Y. Landry,Fire,Renters,New,Quoted,Internet Lead - Provider A,70521,244.81,,
Destiny Ross,12/16/2025,M. Baker,Auto,Private Passenger,New,Quoted,Inbound Call,70517,1086.53,,
Amber Lowery,12/16/2025,S. Williams,Auto,Private Passenger,New,Issued,Referral - Dealership,71346,1648.4,12/19/2025,1648.4
Amber Lowery,12/16/2025,U. Roy,Health,N/A,New,Issued,Internet Lead - Provider A,71457,419.96,12/24/2025,520.96
Amber Lowery,12/16/2025,D. Hill,Auto,Private Passenger,New,Issued,Inbound Call,70542,2440.71,12/20/2025,2440.71
Amber Lowery,12/17/2025,Q. Broussard,Auto,Private Passenger,New,Quoted,Referral - Realtor,71003,2012.02,,
Amber Lowery,12/17/2025,Q. Boudreaux,Auto,Private Passenger,New,Quoted,StateFarm.com,71038,2404.67,,
Amber Lowery,12/17/2025,P. Guidry,Auto,Private Passenger,Added,Issued,Current Customer - Agent Generated,70533,568.75,12/25/2025,568.75
Amber Lowery,12/18/2025,R. Duplantis,Life,Select Term - 20,New,Quoted,Walk-In,70646,172.09,,
Amber Lowery,12/18/2025,R. Duplantis,Fire,Renters,New,Issued,Walk-In,70517,287.56,12/24/2025,287.56
Destiny Ross,12/19/2025,Q. Savoy,Auto,Private Passenger,New,Quoted,Internet Lead - Provider A,71457,1127.38,,
Amber Lowery,12/19/2025,V. Smith,Auto,Private Passenger,New,Issued,Internet Lead - Provider A,70535,2058.47,12/19/2025,2058.47
Amber Lowery,12/19/2025,K. Broussard,Auto,Private Passenger,Added,Quoted,Current Customer - Customer Generated,70118,1275.37,,
